capital,x,y
Amsterdam,-174,-18
Andorra,-249,-196
Ankara,199,-220
Athens,73,-294
Astana,408,68
Belgrade,10,-161
Berlin,-77,-21
Bern,-157,-127
Bratislava,-30,-110
Brussels,-192,-44
Bucharest,91,-161
Budapest,-7,-116
Chisinau,120,-111
Copenhagen,-90,33
Dublin,-298,23
Helsinki,33,131
Kyiv,128,-44
Lisbon,-418,-226
Ljubljana,-65,-145
London,-240,-24
Luxembourg,-169,-68
Madrid,-329,-217
Minsk,78,12
Monaco,-168,-185
Moscow,170,63
Nicosia,235,-318
Oslo,-104,114
Paris,-214,-71
Podgorica,-1,-212
Prague,-65,-67
Reykjavik,-358,279
Riga,33,68
Rome,-90,-226
San Marino,-95,-186
Sarajevo,-15,-186
Skopje,32,-220
Sofia,60,-201
Stockholm,-36,106
Tallinn,35,113
Tbilisi,345,-145
Tirana,10,-235
Vaduz,-130,-125
Valetta,-69,-343
Vatican,-95,-220
Vienna,-44,-104
Vilnius,51,24
Warsaw,13,-28
Yerevan,362,-168
Zagreb,-43,-155
